"tract","Name","Median_Hhold._Income_of_Residents_in_2012-16"
53061053201,"Stanwood, WA",74566
48439121611,"West Arlington, Arlington, TX",74483
34021003008,"Mercerville-Hamilton Square, Hamilton Township, NJ",74309
34027041705,"Parsippany, Parsippany-Troy Hills, NJ",73572
42055011301,"Chambersburg, PA",72831
29037061001,"Peculiar, MO",72801
55025011401,"Madison, WI",72770
6073013301,"Chula Vista, CA",72437
36111952600,"Ulster Park, NY",72184
20055960401,"Garden City, KS",72155
37031970604,"Morehead City, NC",71933
51041100505,"Chester, VA",71871
26163558000,"Livonia, MI",71292
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",71185
12011060212,"Sunrise, FL",70980
53021020606,"Pasco, WA",70863
26103001500,"Negaunee, MI",70830
6061020402,"Auburn, CA",70743
6097152904,"Santa Rosa, CA",70697
34023001100,"Highland Park, NJ",70333
51685920100,"Manassas Park, VA",70225
5125010509,"Alexander, AR",70178
6073020309,"Country Club, Escondido, CA",69783
48029121120,"Stoneridge, San Antonio, TX",69650
30063000100,"Upper Rattlesnake, Missoula, MT",69614
24510272003,"Baltimore, MD",69408
25017351300,"Prospect Hill, Somerville, MA",69327
17163504303,"Mascoutah, IL",69141
49011127100,"Kaysville, UT",69049
25027730600,"Forest Grove, Worcester, MA",68779
25015821700,"Northampton, MA",68638
34039034300,"Roselle, NJ",68634
25009210400,"Peabody, MA",68282
25015822601,"Huntington, MA",68099
6001437102,"Glen Eden, Hayward, CA",67688
22071007800,"Lower Garden District, New Orleans, LA",67453
36085012804,"Richmond County, NY",67168
36119008800,"White Plains, NY",66934
6037431100,"Monrovia, CA",66906
6071002705,"Rialto, CA",66807
6099000510,"Salida, CA",66627
17131040100,"Sherrard, IL",66110
13051011500,"Coffee Bluff, Savannah, GA",65893
21239050105,"Versailles, KY",65836
48121020203,"Sanger, TX",65598
5119003710,"North Little Rock, AR",65579
48041000101,"East Brazos Industrial Park Ph 1, Bryan, TX",65326
17179022000,"Minier, IL",65251
24033802001,"Suitland, Suitland-Silver Hill, MD",65228
48453001851,"Willow Run, Austin, TX",65042
17133600502,"Waterloo, IL",65007
34017018100,"Weehawken, NJ",64720
6037408401,"La Puente, CA",64387
25017315401,"Tewksbury, MA",64327
6095252102,"Benicia, CA",63855
12127083203,"Breakaway Trails, Ormond Beach, FL",63249
12115002719,"Venice, FL",63151
13297110508,"Loganville, GA",63096
6059063201,"East Side Costa Mesa, Costa Mesa, CA",63011
53061041901,"Everett, WA",62983
42079215300,"Bear Creek Village, PA",62956
18005010500,"Columbus, IN",62790
48453001826,"North Austin, Austin, TX",62703
12086010606,"Cutler Bay, FL",62605
17031170700,"Belmont Heights, Chicago, IL",62544
36047005400,"Kings County, NY",62416
31079000100,"Cairo, NE",62114
6025010300,"Brawley, CA",62050
25013813801,"Holland, MA",61968
29165030207,"The Coves, Kansas City, MO",61481
40109109202,"Northeast Oklahoma City, Luther, OK",61413
37089930702,"Mills River, NC",61091
39153532706,"Northfield, OH",60968
21067004007,"Lexington, KY",60722
42045403601,"Norwood, PA",60487
21005950201,"Lawrenceburg, KY",60317
6059087503,"Anaheim Resort, Anaheim, CA",60281
48091310607,"Canyon Lake, TX",60281
51710006502,"East Ocean View, Norfolk, VA",60267
39035174106,"North Olmsted, OH",60160
48201531500,"Northside, Houston, TX",60117
48121020401,"Denton, TX",60103
36047058600,"Kings County, NY",60024
53011040809,"Northeast Hazel Dell, Vancouver, WA",59993
37191000401,"Goldsboro, NC",59934
6097150701,"Petaluma, CA",59708
55031030100,"Poplar, WI",59557
55039040100,"Fond du Lac, WI",59481
48039663400,"Lake Jackson, TX",59480
12071040312,"Eisenhower, Lehigh Acres, FL",59403
31055007465,"Brookhaven, Omaha, NE",59344
19109950500,"Algona, IA",59327
42045406100,"Brookhaven, PA",59295
51177020311,"Spotsylvania Courthouse, VA",59293
51003011201,"Batesville Insert, Charlottesville, VA",59228
51710006601,"Bel Aire/South Bay View, Norfolk, VA",59175
12011060114,"Lauderhill, FL",59153
6073019601,"Vista, CA",58966
12015030402,"Placida, FL",58944
36005028500,"Bronx County, NY",58814
36121970200,"Attica, NY",58796
6075010100,"North Beach, San Francisco, CA",58777
36047041401,"Kings County, NY",58018
21191930100,"Butler, KY",57957
26029000300,"Boyne City, MI",57728
42003488600,"West Mifflin, PA",57728
25027709702,"Leominster, MA",57535
33017080202,"Durham, NH",57300
6037609900,"San Pedro, Los Angeles, CA",57164
6023000700,"Eureka, CA",57136
12103027603,"Indian Rocks Beach, FL",57131
13223120603,"Hiram, GA",56939
32003003631,"North Las Vegas, NV",56844
41047001601,"Northgate, Salem, OR",56801
17161022900,"Rock Island, IL",56715
19171290200,"Traer, IA",56715
1115040502,"Springville, AL",56677
18097321100,"Highland-Kessler, Indianapolis, IN",56434
26125197600,"Troy, MI",56312
55025011504,"Sun Prairie, WI",56232
26099218000,"New Haven, MI",56127
48027021302,"Temple, TX",56073
24033801808,"Hillcrest Heights, MD",55824
26099261400,"Warren Woods, Warren, MI",55726
45091061701,"York, SC",55582
21185030302,"La Grange, KY",55578
17031230400,"Humboldt Park, Chicago, IL",55549
55025011506,"Sun Prairie, WI",55528
13247060202,"Conyers, GA",55451
12031010202,"Northside, Jacksonville, FL",55339
36047055000,"Kings County, NY",55325
42079215900,"Shickshinny, PA",55118
41071031000,"Amity, OR",54739
17031816900,"Bellwood, IL",54727
12011110338,"Pembroke Pines, FL",54484
27111960700,"Pelican Rapids, MN",54457
48061012301,"Port Isabel, TX",54315
48439110600,"Westworth Village, TX",54233
4025001001,"Prescott, AZ",54128
42003428100,"Pittsburgh, PA",54030
23009965400,"Orland, ME",53874
27003051502,"Minneapolis, MN",53840
17083010402,"Jerseyville, IL",53757
29189211202,"Florissant, MO",53698
48029181818,"Northwest Side, San Antonio, TX",53604
37009970700,"Fleetwood, NC",53423
26099254500,"Fraser, MI",53402
51760070300,"Oxford, Richmond, VA",53399
40047001402,"Enid, OK",53378
8041004800,"Colorado Springs, CO",53188
9003473800,"Windsor, CT",53179
27143170300,"Gaylord, MN",53024
54107010200,"Williamstown, WV",52986
49053270400,"Ivins, UT",52960
12086008418,"Miami, FL",52951
49041975100,"Salina, UT",52909
6037603400,"Gardena, CA",52836
29510124300,"Benton Park, St. Louis, MO",52798
53067012412,"Yelm, WA",52483
37047930800,"Whiteville, NC",52301
18077966400,"Madison, IN",52293
13185010604,"Valdosta, GA",52113
42043024400,"Hummelstown, PA",51974
19075960300,"Grundy Center, IA",51776
18099020600,"Plymouth, IN",51692
19013002902,"La Porte City, IA",51649
20055960403,"Garden City, KS",51517
40007951800,"Beaver, OK",51383
47117955100,"Lewisburg, TN",51350
25025160601,"Chelsea, MA",51268
18163002900,"Westside, Evansville, IN",51229
48355002900,"N.A.S., Corpus Christi, TX",51172
22017022900,"Shreveport, LA",50996
39093030100,"Vermilion, OH",50925
17031814600,"Berwyn, IL",50870
31153010306,"Bellevue, NE",50705
29187950101,"Bonne Terre, MO",50573
42101037900,"North Philadelphia, Philadelphia, PA",50566
27053022802,"Fern Hill, Minneapolis, MN",50546
17015960100,"Lanark, IL",50534
12063210700,"Marianna, FL",50427
1097006200,"Wilmer, AL",50373
22019002203,"Moss Bluff, LA",50365
24033803300,"Hyattsville, MD",50356
27059130200,"Stanchfield, MN",50082
36087011301,"Nanuet, NY",50021
21151011000,"Richmond, KY",49994
12073002702,"Tallahassee, FL",49624
12099005812,"Boynton Beach, FL",49478
